Name;Quantity;Link;ÿ
Knobs;;;
OEJNI-90-4-7 - Abs.enc.;1;https://www.digikey.com/en/products/detail/kilo-international/OEJL-90-4-7/710686;
OEJL-50-4-5 - Pot.;1;https://www.digikey.com/en/products/detail/kilo-international/OEJL-50-4-5/710642;
OEJNI-50-4-7 - Encs.;2;https://www.digikey.com/en/products/detail/kilo-international/OEJL-50-4-7/710650;
1RBLK - Buttons;2;https://www.digikey.com/en/products/detail/e-switch/1RBLK/271579;
;;;
Cables;;;
FFC 10-pin 0.5mm L30mm B-dir;1;https://www.aliexpress.com/item/1005004583056284.html;
FFC 8-pin 0.5mm L30mm A-dir;1;https://www.aliexpress.com/item/1005004583043404.html;
FGG.0B.306 + cable 3m;1;https://www.aliexpress.com/item/32716755431.html;
FGG.0B.304 + cable 1m;1;https://www.aliexpress.com/item/32716755431.html;
;;;
Assembly encoder;;;
Bearing M6x12x4;1;https://www.aliexpress.com/item/1005004692070656.html;
Oil seal M6x12x3;1;https://www.aliexpress.com/item/1005002594687400.html;
Pillow M6x22;1;https://www.aliexpress.com/item/1005006371763253.html;
Nylon washer M6x12x0.5;2;https://www.aliexpress.com/item/1005005893035927.html;
Magnet M6x3;1;https://www.aliexpress.com/item/1005002848356452.html;
3D Body Pillow Joint;1;;
;;;
Assembly display;;;
3D Body Display Stand;1;;
LCD TFT 135x240 1.14 inch;1;https://www.aliexpress.com/item/1005003772191934.html;
Brass pillow M2.5x4;2;https://www.aliexpress.com/item/1005002952338852.html;
Screws PH1 M2.5x6;2;;
Nuts M2.5;2;;
;;;
Assembly case;;;
3D Body Top;1;;
3D Body Bottom;1;;
Screws PH1 M2.5x16 - Top-Bottom;6;;
Screws PH1 M2.5x6 - PCB-Bottom;4;;
Screws PH1 M2x4 - Joystick-Top;4;;
M12 Light Joystick;1;https://www.aliexpress.com/item/4001243553801.html;
