Altium Designer Pick and Place Locations
D:\basecam\MiniRemote\Project Outputs for MiniRemote\Pick Place\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       02.07.24
Time:       20:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C14","100nF","BottomLayer","2199.998","3215.000","90","0603 100nF 50V X7R 10%"
"C3","100nF","BottomLayer","1665.000","3924.998","0","0603 100nF 50V X7R 10%"
"R7","10K","TopLayer","1045.000","3550.002","0","0603 10K OHM 0.1W 1%"
"D15","BAT760","BottomLayer","1165.000","3688.307","90","DIODE SCHOTTKY 20V 1A SOD323"
"SW2","B13AP","TopLayer","2322.834","1968.504","90","SWITCH TOGGLE SPDT 0.4VA 28V"
"C23","10nF","TopLayer","1659.998","3685.000","270","0603 10nF 100V X7R 10%"
"SW1","TL3301SPF260QG","TopLayer","2086.614","2913.386","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"R29","10K","TopLayer","2415.787","2925.002","0","0603 10K OHM 0.1W 1%"
"R26","510","TopLayer","1190.000","3140.002","0","0603 510 OHM 0.1W 1%"
"R25","47K","TopLayer","1190.000","3214.998","180","0603 47K OHM 0.1W 1%"
"R12","510","BottomLayer","2235.000","3485.002","180","0603 510 OHM 0.1W 1%"
"R3","510","BottomLayer","1840.000","3925.002","180","0603 510 OHM 0.1W 1%"
"D20","ESD3V3D5","BottomLayer","2161.496","535.000","180","TVS DIODE 3.3VWM SOD523"
"D19","ESD3V3D5","BottomLayer","2191.496","470.000","180","TVS DIODE 3.3VWM SOD523"
"D18","ESD5B5.0ST1G","TopLayer","1100.000","3108.504","90","TVS DIODE 5VWM SOD523"
"D12","ESD5B5.0ST1G","BottomLayer","2313.504","3565.000","0","TVS DIODE 5VWM SOD523"
"D9","ESD3V3D5","BottomLayer","1395.000","3601.496","270","TVS DIODE 3.3VWM SOD523"
"D1","ESD5B5.0ST1G","BottomLayer","1057.285","2940.000","180","TVS DIODE 5VWM SOD523"
"C22","10nF","TopLayer","1495.002","3685.000","270","0603 10nF 100V X7R 10%"
"C21","10nF","TopLayer","1495.002","3860.000","90","0603 10nF 100V X7R 10%"
"C27","100nF","TopLayer","865.000","2700.002","0","0603 100nF 50V X7R 10%"
"R30","0","TopLayer","735.000","624.998","180","0603 0 OHM 0.1W"
"P11","Shield","BottomLayer","1476.378","506.201","180","CONN PLUG 30POS R/A GOLD"
"P3","M12Lite Gimbal","TopLayer","1287.756","2805.945","0","CONN HEADER SMD R/A 8POS 1.25MM"
"C33","100nF","TopLayer","2285.000","849.998","0","0603 100nF 50V X7R 10%"
"C32","100nF","TopLayer","2250.000","929.998","0","0603 100nF 50V X7R 10%"
"C4","100nF","TopLayer","1660.000","2914.998","0","0603 100nF 50V X7R 10%"
"D16","ESD5B5.0ST1G","TopLayer","700.000","2603.504","90","TVS DIODE 5VWM SOD523"
"R24","100K","TopLayer","649.606","3750.000","0","POT 100K OHM 0.05W 20%"
"C19","100nF","BottomLayer","700.002","2626.024","90","0603 100nF 50V X7R 10%"
"Q3","NTS4101PT1G","TopLayer","1009.410","3095.709","270","MOSFET P-CH 20V 1.37A SC70-3"
"D17","BAT760","TopLayer","675.000","3281.693","270","DIODE SCHOTTKY 20V 1A SOD323"
"D10","ESD5B5.0ST1G","BottomLayer","2285.512","2925.000","0","TVS DIODE 5VWM SOD523"
"D14","ESD5B5.0ST1G","BottomLayer","2408.504","3065.000","180","TVS DIODE 5VWM SOD523"
"D13","ESD5B5.0ST1G","BottomLayer","2378.504","2995.130","180","TVS DIODE 5VWM SOD523"
"U7","CP2102","BottomLayer","695.512","3134.055","180","Single-Chip USB to UART Data Transfer"
"U4","LTC2864HDD-1#PBF","BottomLayer","2302.322","3216.181","270","20Mbps and Slew Rate Limited 15kV RS485/RS422 Transceiver"
"R14","4.7K","BottomLayer","735.000","2969.998","0","0603 4.7K OHM 0.1W 5%"
"R13","47K","BottomLayer","2380.000","3485.002","180","0603 47K OHM 0.1W 1%"
"R10","120","BottomLayer","2282.008","3065.002","180","0603 120 OHM 0.1W 1%"
"R8","10K","BottomLayer","2124.998","3215.000","270","0603 10K OHM 0.1W 1%"
"Q2","BSS816NW","BottomLayer","2300.709","3384.999","180","MOSFET N-CH 20V 1.4A SOT323-3"
"C17","100nF","BottomLayer","735.000","2901.258","180","0603 100nF 50V X7R 10%"
"C16","100nF","BottomLayer","949.998","3770.000","90","0603 100nF 50V X7R 10%"
"C15","100nF","BottomLayer","1024.998","3735.000","90","0603 100nF 50V X7R 10%"
"D11","ESD5B5.0ST1G","BottomLayer","2255.512","2995.000","0","TVS DIODE 5VWM SOD523"
"U9","CAT24C256","TopLayer","2373.661","3445.472","180","Two-Wire I2C Serial EEPROM"
"SW4","TL3301SPF260QG","TopLayer","2362.205","2637.795","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"ZQ1","8 MHz","TopLayer","1280.000","3378.740","90","CRYSTAL 8.0000MHZ 8PF SMD"
"Q1","BSS816NW","BottomLayer","1893.543","3824.843","180","MOSFET N-CH 20V 1.4A SOT323-3"
"D24","ESD5B5.0ST1G","BottomLayer","933.504","3345.000","0","TVS DIODE 5VWM SOD523"
"D23","PMEG3030BEP,115","BottomLayer","815.000","3390.000","270","DIODE SCHOTTKY 30V 3A SOD128"
"D22","PMEG3030BEP,115","BottomLayer","700.000","3390.000","270","DIODE SCHOTTKY 30V 3A SOD128"
"D21","PMEG3030BEP,115","TopLayer","775.000","3280.000","90","DIODE SCHOTTKY 30V 3A SOD128"
