Altium Designer Pick and Place Locations
D:\basecam\MiniRemote\Project Outputs for MiniRemote\Pick Place\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       02.07.24
Time:       20:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C14","100nF","BottomLayer","55.8800","81.6610","90","0603 100nF 50V X7R 10%"
"C3","100nF","BottomLayer","42.2910","99.6950","0","0603 100nF 50V X7R 10%"
"R7","10K","TopLayer","26.5430","90.1701","0","0603 10K OHM 0.1W 1%"
"D15","BAT760","BottomLayer","29.5910","93.6830","90","DIODE SCHOTTKY 20V 1A SOD323"
"SW2","B13AP","TopLayer","59.0000","50.0000","90","SWITCH TOGGLE SPDT 0.4VA 28V"
"C23","10nF","TopLayer","42.1640","93.5990","270","0603 10nF 100V X7R 10%"
"SW1","TL3301SPF260QG","TopLayer","53.0000","74.0000","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"R29","10K","TopLayer","61.3610","74.2951","0","0603 10K OHM 0.1W 1%"
"R26","510","TopLayer","30.2260","79.7561","0","0603 510 OHM 0.1W 1%"
"R25","47K","TopLayer","30.2260","81.6610","180","0603 47K OHM 0.1W 1%"
"R12","510","BottomLayer","56.7690","88.5190","180","0603 510 OHM 0.1W 1%"
"R3","510","BottomLayer","46.7360","99.6951","180","0603 510 OHM 0.1W 1%"
"D20","ESD3V3D5","BottomLayer","54.9020","13.5890","180","TVS DIODE 3.3VWM SOD523"
"D19","ESD3V3D5","BottomLayer","55.6640","11.9380","180","TVS DIODE 3.3VWM SOD523"
"D18","ESD5B5.0ST1G","TopLayer","27.9400","78.9560","90","TVS DIODE 5VWM SOD523"
"D12","ESD5B5.0ST1G","BottomLayer","58.7630","90.5510","0","TVS DIODE 5VWM SOD523"
"D9","ESD3V3D5","BottomLayer","35.4330","91.4780","270","TVS DIODE 3.3VWM SOD523"
"D1","ESD5B5.0ST1G","BottomLayer","26.8550","74.6760","180","TVS DIODE 5VWM SOD523"
"C22","10nF","TopLayer","37.9731","93.5990","270","0603 10nF 100V X7R 10%"
"C21","10nF","TopLayer","37.9731","98.0440","90","0603 10nF 100V X7R 10%"
"C27","100nF","TopLayer","21.9710","68.5801","0","0603 100nF 50V X7R 10%"
"R30","0","TopLayer","18.6690","15.8750","180","0603 0 OHM 0.1W"
"P11","Shield","BottomLayer","37.5000","12.8575","180","CONN PLUG 30POS R/A GOLD"
